,org_airport,dest_airport,dist
1279,HPN,RSW,1102
1281,LBB,IAH,458
1282,CAE,ATL,192
1283,AVP,ORD,632
1285,GSO,DFW,999
1288,SGF,ORD,438
1290,CMI,ORD,135
1292,DFW,SHV,190
1293,DFW,TYS,772
1294,COU,ORD,315
1296,FLL,DTW,1127
1297,ACY,MCO,852
1298,RDM,LAX,726
1299,HLN,SLC,402
1300,OKC,SLC,866
1301,SFO,SMF,86
1302,MSP,SFO,1589
1303,DFW,SFO,1464
1305,BTM,SLC,358
1307,CVG,RSW,879
1309,STL,SFO,1735
1310,BOS,DEN,1754
1311,FLL,DEN,1703
1314,CMH,ORD,296
1317,TPA,MIA,204
1318,MEM,CLT,511
1319,PHL,MIA,1013
1321,ATL,MDW,591
1322,ELP,AUS,528
1323,EWR,MDW,711
1324,ISP,MCO,971
1325,MCI,BWI,967
1326,MCI,MSY,689
1327,MCO,BNA,616
1332,LAX,IAD,2288
1334,LAS,LAX,236
1335,DFW,BDL,1471
1336,PBI,DFW,1102
1338,SEA,KTN,680
1339,JNU,ANC,571
1341,TPA,DCA,814
1342,BOS,MCO,1121
1343,MSP,PDX,1426
1345,RSW,DFW,1017
1348,IAH,IND,844
1349,DFW,LIT,304
1350,LAX,SMF,373
1356,DEN,PDX,991
1357,BDL,RSW,1180
1358,IND,BWI,516
1359,LAS,DAL,1067
1360,LAS,SAT,1069
1361,LAX,DAL,1246
1362,MCO,DAL,973
1363,MCO,STL,882
1364,PHX,HOU,1020
1367,TUL,DAL,237
1370,DFW,SJC,1438
1372,RDU,ORD,646
1375,JFK,RDU,427
1377,JFK,IAD,228
1378,RSW,MSP,1416
1381,BWI,ATL,577
1382,JFK,SRQ,1041
1384,TTN,CVG,532
1385,DFW,TUL,237
1386,DFW,GRK,134
1387,DFW,PNS,604
1389,MEM,ORD,491
1390,OKC,ORD,693
1393,OKC,SFO,1384
1394,SJU,IAH,2007
1396,LAX,SAN,109
1397,IAD,ORD,589
1400,BOI,IAH,1482
1403,AUS,DEN,775
1404,ORD,BTV,763
1405,ORD,DSM,299
1407,SFO,IAD,2419
1408,BNA,CLT,328
1409,STL,CLT,575
1410,AUS,PHL,1430
1411,ATL,PHX,1587
1412,SAN,IAD,2253
1413,LGA,DEN,1620
1414,CLT,BWI,361
1415,DAL,ATL,721
1416,DAL,FLL,1108
1417,DAL,LAS,1067
1418,DAL,PHX,879
1419,MDW,DEN,895
1420,MSY,LAS,1500
1421,PIT,LAS,1910
1423,STL,MDW,251
1427,DFW,IND,761
1428,DFW,SEA,1660
1433,MCO,SJU,1189
1434,JFK,CHS,636
1436,JAX,ATL,270
1440,SAV,ATL,214
1445,SLC,DTW,1481
1446,EWR,DAY,533
1447,OKC,DTW,900
1448,SCE,ORD,528
1449,ELM,ORD,566
1450,SYR,ORD,607
1451,DEN,DCA,1476
1454,DCA,ORD,612
1456,ASE,IAH,913
1457,COS,ORD,911
1459,CLT,IAH,912
1460,RKS,SLC,162
1462,SJU,STT,68
1463,PIH,SLC,150
1464,IAH,AUS,140
1466,BUF,PHX,1912
1467,DAL,TUL,237
1470,STL,MCO,882
1471,PHL,DEN,1558
1473,CLE,TPA,927
1474,RSW,ORD,1120
1478,ICT,DFW,328
1481,PDX,BOS,2537
1483,SEA,BUR,937
1484,SLC,SFO,599
1486,DFW,OKC,175
1487,MOB,IAH,427
1489,SJC,OGG,2355
1491,MSP,MCO,1310
1493,SUN,SLC,222
1494,LWS,SLC,461
1495,IDA,SLC,188
1499,EWR,RDU,416
1502,AUS,LAS,1090
1503,BNA,STL,272
1504,BUR,LAS,223
1506,BWI,TPA,842
1507,FLL,HOU,957
1508,GSP,HOU,845
1509,LAS,MKE,1524
1510,MCI,LAS,1139
1511,PBI,BWI,883
1512,DEN,EWR,1605
1514,DEN,SFO,967
1517,DFW,SNA,1205
1519,DFW,EWR,1372
1520,JFK,SAV,718
1523,STL,SLC,1156
1525,LIT,IAH,374
1527,DFW,XNA,280
1529,TUL,IAH,429
1532,DEN,COS,73
1533,DEN,GJT,212
1534,OKC,IAH,395
1536,DCA,PBI,857
1537,CAE,ORD,667
1538,VEL,SLC,132
1539,DEN,BZN,524
1545,SLC,ORD,1250
1546,LGA,CLT,544
1547,EWR,CLE,404
1551,DEN,SNA,846
1552,DEN,PUB,109
1555,BWI,IAH,1235
1557,PIT,LAX,2136
1558,ALB,CLT,646
1560,PBI,PHL,951
1561,IND,SFO,1943
1562,SAN,SFO,447
1567,SFO,DCA,2442
1570,DAL,DCA,1184
1572,LAS,BOI,519
1573,LAS,MDW,1521
1575,MEM,MDW,480
1576,MSY,DCA,969
1577,ABQ,PHX,328
1582,HOU,HRL,277
1586,BOS,SFO,2704
1594,JFK,ORD,740
1598,JFK,STT,1623
1600,TUL,ORD,585
1601,DFW,HDN,769
1602,IAD,LAX,2288
1603,DFW,MEM,432
1604,DFW,RIC,1158
1605,JAC,DFW,1047
1606,LAX,MCO,2218
1610,DCA,SEA,2329
1612,ORD,SEA,1721
1613,ANC,JNU,571
1622,SEA,GEG,224
1623,HPN,FLL,1097
1625,SFO,BOS,2704
1627,JFK,JAX,828
1628,JAX,FLL,319
1629,DCA,SJU,1554
1631,MCO,ORH,1091
1635,STT,ATL,1599
1636,OMA,DTW,651
1639,SJU,ATL,1547
1640,TPA,MSP,1306
1641,ABQ,ATL,1269
1643,MDW,ATL,591
1648,JFK,MSP,1029
1650,DTW,PBI,1086
1653,BZN,ATL,1640
1656,EWR,RSW,1068
1657,MCO,BUF,1011
1658,SAV,LGA,722
1659,XNA,DEN,616
1660,EWR,SYR,195
1661,BNA,DEN,1014
1662,SAF,DEN,303
1665,PHX,HNL,2917
1668,DFW,MKE,853
1670,STL,LGA,888
1671,PIA,ORD,130
1672,DFW,GSO,999
1673,DFW,VPS,641
1674,DFW,LAW,140
1676,SAV,IAH,851
1677,FLL,ACY,977
1681,MCI,SFO,1499
1682,COS,SEA,1068
1683,SLC,PDX,630
1685,ORD,DCA,612
1686,COS,SFO,964
1687,YUM,PHX,160
1688,FLG,PHX,119
1690,DEN,SAN,853
1693,IAD,SFO,2419
1694,MCO,ORD,1005
1696,JFK,CLT,541
1697,FCA,DEN,752
1698,MCI,IAD,926
1700,BWI,BOS,369
1701,MIA,DTW,1145
1702,DEN,SAT,794
1703,LAX,SAT,1211
1704,BDL,CLT,644
1707,ATL,HOU,696
1711,GRR,DEN,1015
1712,MCI,DAL,460
1713,MSY,DEN,1062
1715,ROC,MDW,523
1716,STL,BWI,738
1717,TPA,HOU,781
1718,IAD,DEN,1452
1719,DEN,RSW,1607
1720,SFO,HNL,2398
1721,ORD,LAS,1514
1723,IAD,TPA,811
1725,OMA,PHX,1037
1727,SNA,ORD,1726
1731,DFW,SAT,247
1732,SEA,MCO,2554
1737,DEN,LAS,628
1739,DFW,LBB,282
1740,LAX,TUS,451
1741,BNA,MSP,695
1742,DEN,STL,770
1744,LAX,JAC,784
1745,AVL,ORD,536
1746,DEN,BIL,455
1747,DEN,TUS,639
1748,SFO,EUG,451
1749,ORD,ASE,1013
1751,LGB,SEA,965
1752,DTW,DEN,1123
1753,ORD,SAT,1041
1754,SFO,SNA,372
1755,LAX,ASE,737
1758,HDN,DEN,141
1760,JMS,DEN,573
1761,ORD,TVC,224
1762,SMF,IAD,2358
1763,DTW,JFK,509
1764,DEN,MTJ,196
1766,IAD,SAN,2253
1767,IAD,SEA,2306
1769,LAX,RDU,2239
1770,SYR,CLT,603
1771,PWM,CLT,813
1772,ORD,SAN,1723
1774,ATL,PHL,666
1775,BDL,MCO,1050
1776,BWI,STL,738
1777,DAL,DEN,651
1778,DAL,MCO,973
1779,ELP,DAL,562
1780,ISP,BWI,220
1782,SAN,HOU,1313
1784,IAD,SJU,1571
1791,BUF,BOS,395
1792,FLL,SJU,1046
1793,DTW,RSW,1084
1795,JAX,MSP,1174
1796,ATL,OKC,761
1798,ATL,DEN,1199
1799,ORD,CHS,760
1800,ROA,ORD,531
1802,CHA,ATL,106
1804,EYW,ATL,646
1807,ITO,OGG,121
1808,BNA,LGA,764
1809,DFW,CAE,922
1810,MEM,MIA,859
1812,MYR,FLL,529
1814,ABQ,SFO,896
1815,PDX,IAD,2327
1818,IAD,LAS,2065
1819,ATL,RSW,515
1820,DEN,BOI,649
1821,ORD,IND,177
1822,ORD,PHL,678
1825,LGB,SFO,354
1827,ORD,MSY,837
1829,PBI,HPN,1056
1830,IAD,ATL,534
1831,EWR,MEM,946
1833,LAX,BZN,902
1834,BWI,DEN,1491
1837,PHX,PHL,2075
1838,DEN,CLT,1337
1840,DTW,CLT,500
1841,LAS,CMH,1771
1842,MCO,PVD,1072
1843,RNO,SAN,488
1844,SLC,LAS,368
1845,SLC,MDW,1259
1848,TUL,MDW,583
1849,TUS,MDW,1440
1852,RSW,CLT,600
1854,TUS,ORD,1437
1856,LAX,DCA,2311
1860,DFW,AUS,190
1862,SEA,DCA,2329
1863,SEA,BWI,2335
1867,PHL,BOS,280
1872,LAX,OGG,2486
1877,SEA,HNL,2677
1879,ATL,MEM,332
1881,CAK,ORD,343
1882,CRW,ORD,416
1884,DFW,HSV,603
1886,DFW,GPT,500
1887,MQT,ORD,303
1892,CHO,ORD,567
1893,DFW,SLC,989
1895,SLC,CDC,221
1896,IAD,MCO,758
1898,EWR,CHS,628
1899,IAD,CLE,288
1904,DTW,MCO,957
1907,PBI,CLT,590
1910,SFO,FLL,2583
1911,AUS,DAL,189
1913,CHS,MDW,745
1915,ABQ,SAN,628
1918,EWR,LAS,2227
1923,ORD,SJU,2072
1925,PHX,SJC,621
1930,ATL,LAS,1747
1931,MSP,DTW,528
1934,ATL,SJU,1547
1935,PHL,MSP,980
1937,IAD,GSO,239
1942,DSM,ORD,299
1946,GJT,PHX,438
1948,ATL,ORD,606
1949,PHX,YUM,160
1950,ATL,PBI,545
1951,ATL,LAX,1947
1952,IAD,PIT,182
1953,DEN,IAD,1452
1956,BNA,IAH,657
1960,SFO,PHL,2521
1961,RSW,DCA,892
1966,BWI,ABQ,1670
1967,BWI,MEM,787
1968,BWI,RSW,919
1969,MCO,IND,829
1970,DCA,LAS,2089
1974,DFW,MSY,447
1975,HNL,SEA,2677
1977,ATL,STT,1599
1979,ATL,TLH,223
1982,CVG,SLC,1450
1983,DFW,MLI,691
1984,DFW,SAV,925
1986,DFW,AMA,312
1987,TPA,FLL,197
1988,COS,SLC,411
1989,LAX,BOI,674
1991,ATL,JAX,270
1992,TPA,CLE,927
1993,DEN,SLC,391
1994,BUR,DEN,850
1996,ORD,SNA,1726
1998,JFK,HOU,1428
2006,BWI,CHS,472
2008,BWI,PBI,883
2009,DAL,HOU,239
2010,DAL,TPA,917
2011,FLL,BNA,793
2014,MDW,LAS,1521
2015,SAN,AUS,1164
2016,STL,DAL,546
2017,PDX,MCI,1482
2019,IAD,STT,1606
2020,DCA,SFO,2442
2030,DFW,CMH,926
2033,SEA,TPA,2520
2036,BOS,RSW,1249
2037,BOS,LAS,2381
2042,ATL,MSP,907
2043,DTW,MKE,237
2044,DTW,TPA,983
2047,LAX,EGE,748
2052,MCO,DTW,957
2058,RIC,MSP,970
2059,ATL,MOB,302
2060,DEN,MDW,895
2061,TTN,FLL,1026
2062,CVG,ORD,265
2063,GRR,ORD,137
2064,DFW,JAN,408
2065,FWA,ORD,157
2066,FLL,MSY,674
2069,MOT,MSP,449
2070,TUS,SLC,601
2071,ORD,FWA,157
2072,TUL,SLC,926
2073,DFW,MSN,821
2074,DEN,BIS,516
2075,SFO,MFR,329
2076,DTW,APN,198
2079,ATL,BWI,577
2080,LBB,DEN,456
2082,RDU,IAH,1042
2083,SBA,LAX,89
2086,CLT,EWR,529
2092,ORD,PDX,1739
2093,BWI,DAL,1209
2094,BWI,JAX,663
2095,DEN,DAL,651
2097,DSM,MDW,306
2098,ECP,BNA,401
2099,LAS,ABQ,486
2100,MDW,BHM,570
2101,SJC,ONT,333
2103,GEG,PHX,1020
2108,DFW,OMA,583
2111,SLC,SAN,626
2112,SEA,LIH,2701
2114,BOS,RDU,612
2116,STL,DTW,440
2117,DTW,DCA,405
2120,DTW,SLC,1481
2121,RDU,MSP,980
2122,DTW,SEA,1927
2123,DTW,SRQ,1022
2124,DEN,MCI,533
2125,DFW,LFT,351
2126,DFW,GRR,931
2128,DAY,ORD,240
2129,ORD,RSW,1120
2131,LAX,ELP,715
2132,SFO,MMH,193
2134,PIA,DEN,793
2135,SFO,CEC,304
2137,TPA,SJU,1237
2139,EWR,CMH,463
2141,MCO,FLL,177
2143,SFO,SBA,262
2144,SFO,RNO,192
2146,MEM,DEN,872
2148,DEN,MSY,1062
2149,OAK,ORD,1836
2151,DFW,SAN,1171
2152,ASE,SFO,848
2155,ORD,OMA,416
2157,LAX,BWI,2329
2160,PIT,DEN,1290
2163,IND,LAS,1590
2164,LAS,MCO,2039
2165,MDW,DCA,601
2166,MKE,MCO,1066
2168,SJC,DEN,948
2169,SMF,LAS,397
2170,STL,BNA,272
2172,DCA,LAX,2311
2173,LAX,KOA,2504
2175,RNO,ORD,1671
2176,DFW,IAD,1172
2181,SEA,FLL,2717
2183,JFK,AUS,1521
2184,CVG,SEA,1965
2185,ATL,TPA,406
2189,DFW,JAX,918
2190,DFW,CLL,164
2191,BHM,IAH,562
2192,EVV,DTW,363
2196,DFW,LEX,785
2197,DFW,BHM,597
2198,ACY,PBI,936
2199,BIS,MSP,386
2202,SFO,ASE,848
2203,DTW,LAN,74
2205,OAK,LAX,337
2206,SFO,PDX,550
2207,DTW,SFO,2079
2208,DEN,CLE,1201
2211,DTW,ORD,235
2215,ORD,SRQ,1050
2220,BNA,PHX,1449
2221,DEN,BWI,1491
2223,LAS,OMA,1099
2225,MDW,OAK,1844
2226,MDW,SFO,1855
2227,MDW,SLC,1259
2229,PIT,BNA,462
2230,HOU,SAT,192
2232,IAH,SAN,1303
2235,PHX,SNA,338
2237,PHX,SAN,304
2242,DFW,COS,592
2243,STL,LAX,1592
2244,EGE,JFK,1746
2246,PBI,LAX,2330
2250,MCO,BDL,1050
2251,DCA,BDL,313
2253,JFK,HNL,4983
2255,MSN,DTW,311
2256,DTW,EWR,488
2261,SAT,JFK,1587
2266,ORD,PNS,794
2267,AMA,DEN,359
2268,DTW,MSY,926
2269,ORD,OKC,693
2271,MSP,IAD,908
2274,ROC,ORD,528
2276,CMH,JFK,483
2279,ORD,DLH,397
2281,MLI,DEN,752
2283,CLE,DEN,1201
2285,IAH,SDF,788
2286,MBS,ORD,222
2288,IAH,MAF,429
2290,ORD,MCI,403
2291,ATL,CLE,554
2295,IAH,LGA,1416
2297,SAN,PHL,2370
2303,BHM,BWI,682
2304,BNA,CHS,439
2306,CLT,MDW,584
2307,DAL,ELP,562
2308,DCA,TPA,814
2310,DTW,STL,440
2311,LIT,PHX,1136
2313,MDW,SAN,1728
2314,MSY,HOU,302
2315,MSY,MCO,551
2316,SAN,LAS,258
2317,SDF,PHX,1506
2318,STL,BOS,1047
2319,HOU,SAN,1313
2321,IAH,SNA,1346
2322,PHX,OGG,2845
2323,PHX,LAS,255
2329,SAN,BOS,2588
2331,ATL,BOS,946
2332,DTW,MSP,528
2333,RIC,BOS,474
2334,ORD,PIT,413
2335,GNV,ATL,300
2336,TYS,DEN,1162
2337,MCO,PHL,861
2339,GFK,MSP,284
2340,GTF,SLC,463
2341,SEA,FAT,748
2342,SBP,SFO,190
2343,DTW,BTV,537
2344,DTW,TUL,789
2345,DTW,GRR,120
2346,SFO,ONT,363
2351,EWR,ORD,719
2352,EWR,SAN,2425
2353,CVG,IAH,871
2354,IAH,BNA,657
2356,IAD,HNL,4817
2361,LAX,MCI,1363
2363,MDW,LGA,725
2364,MDW,SEA,1733
2366,MKE,RSW,1183
2370,HOU,LAX,1390
2371,ORF,MDW,704
2372,DFW,DAY,861
2373,DFW,CLE,1021
2379,FLL,PVD,1188
2381,DTW,SAN,1956
2386,ATL,EWR,746
2388,DFW,SPS,113
2393,RDU,LGA,431
2394,DFW,FWA,859
2398,DFW,SGF,364
2399,DFW,CID,685
2403,LGB,SLC,588
2404,DTW,BHM,625
2405,DTW,LAX,1979
2406,MSP,SLC,991
2409,ABQ,IAH,744
2410,MSP,MSY,1039
2412,MCI,CLT,808
2413,LAS,PHL,2176
2419,BNA,BWI,587
2420,BWI,AUS,1342
2422,HOU,DAL,239
2423,LAS,AUS,1090
2426,MCO,BWI,787
2427,MDW,MCI,405
2428,ABQ,MDW,1121
2429,RDU,DEN,1436
2430,OAK,PDX,543
2432,EWR,SNA,2434
2438,ORD,CLE,315
2439,EWR,JAC,1874
2443,SAN,ORD,1723
2454,STT,MIA,1107
2459,JFK,DFW,1391
2466,OAK,HNL,2409
2467,STT,SJU,68
2469,JFK,SEA,2422
2474,MCI,MSP,393
2480,JFK,DTW,509
2482,MSP,BWI,936
2484,MSP,SMF,1517
2488,JAX,DCA,634
2491,SGF,ATL,563
2494,IAH,PNS,489
2496,IAH,MCI,643
2500,CRW,ATL,363
2501,BTV,DTW,537
2502,IAH,GJT,979
2505,TOL,ORD,213
2506,EVV,ORD,273
2508,DFW,FSM,227
2509,DFW,MGM,622
2511,JFK,DCA,213
2512,DAY,LGA,549
2513,MSP,DSM,232
2514,BIL,SLC,387
2515,ORD,MSP,334
2516,DLH,MSP,144
2517,IAH,ASE,913
2518,SFO,PSP,421
2519,SFO,LIH,2447
2520,DTW,BUF,241
2521,SFO,BZN,807
2523,OTZ,ANC,548
2524,IAH,VPS,528
2525,IAH,OMA,781
2526,IAH,HRL,295
2527,IAH,MFE,316
2528,DTW,AVP,399
2531,DTW,MDT,371
2534,ATL,DTW,594
2535,IAH,TUS,936
2537,PDX,CLT,2282
2540,CAK,DCA,274
2541,CMH,STL,409
2542,GRR,STL,382
2543,IND,DCA,500
2544,IND,MCO,829
2545,JAX,DEN,1447
2548,MDW,FLL,1166
2553,TPA,BNA,612
2555,SAT,DEN,794
2561,SEA,OGG,2640
2563,PIT,BOS,496
2564,ATL,PIT,526
2565,DFW,PDX,1616
2566,ATL,CVG,373
2567,MSP,JAC,872
2570,MSP,OMA,282
2573,DFW,SJT,229
2574,ELP,IAH,667
2575,ATL,ROA,357
2578,DFW,LRD,396
2579,TYS,IAH,771
2581,MSP,CVG,596
2582,LAX,MRY,266
2584,BDL,DTW,549
2585,IAH,LFT,201
2586,JAN,IAH,351
2587,ATL,AGS,143
2590,SGF,DEN,637
2592,IAH,COS,809
2593,IAH,ABQ,744
2594,IAH,ELP,667
2596,ATL,MGM,147
2597,RDU,TTN,373
2598,MYR,LGA,563
2600,SHV,DEN,792
2602,LAX,RNO,391
2603,EWR,HNL,4962
2605,TPA,IAD,811
2609,DAL,LAX,1246
2611,LAS,BNA,1587
2613,MDW,DTW,228
2614,MEM,TPA,655
2615,MHT,TPA,1204
2616,ALB,BWI,289
2618,RDU,BWI,255
2619,SJC,AUS,1476
2621,HOU,OAK,1642
2622,MCO,IAD,758
2626,KTN,SEA,680
2631,MSP,TPA,1306
2632,ATL,ROC,749
2637,JFK,SAN,2446
2640,IAH,DAL,216
2641,IAH,LRD,301
2642,MSP,ROC,783
2643,LIT,DEN,771
2644,DFW,AEX,285
2648,MSP,ISN,546
2649,MSP,CLE,622
2652,LAX,COS,833
2656,LGB,LAS,231
2659,JFK,BTV,266
2663,ATL,MLB,442
2664,IAH,SAT,191
2665,CLT,ORF,290
2668,SMF,LGB,387
2670,MSN,MSP,228
2671,DEN,PHL,1558
2674,CLT,MSY,651
2676,BUR,OAK,325
2679,FLL,TPA,197
2680,LAS,GEG,806
2683,AMA,DAL,323
2684,RSW,MKE,1183
2687,HOU,SNA,1357
2689,TPA,IAH,787
2690,SFO,OGG,2338
2691,FLL,PHX,1972
2692,DFW,PBI,1102
2693,LAX,LIH,2615
2694,DFW,MFE,469
2695,MIA,EGE,1810
2696,MIA,RDU,700
2698,STX,MIA,1139
2700,EWR,DTW,488
2703,MSP,ABQ,981
2705,ATL,SRQ,444
2708,ATL,ICT,782
2709,ILM,ATL,377
2710,ATL,ECP,240
2713,DFW,PIA,672
2718,ORD,DFW,802
2719,MSP,TUL,615
2721,LAX,ABQ,677
2722,IAH,ONT,1334
2724,IAH,CRP,201
2730,SDF,DEN,1024
2732,IAH,HNL,3904
2735,CLT,JFK,541
2737,IAH,RNO,1530
2741,DAL,OKC,181
2743,JAX,BNA,483
2744,LAS,AMA,758
2746,LAX,MDW,1750
2747,LBB,AUS,341
2748,MHT,MDW,838
2749,STL,TPA,869
2750,TUL,PHX,935
2751,CLE,LAX,2052
2752,EWR,STT,1634
2753,IAH,SEA,1874
2757,MIA,PHX,1972
2758,DFW,PIT,1067
2759,SEA,BOS,2496
2762,JFK,ROC,264
2765,ATL,DCA,547
2768,SMF,MSP,1517
2769,DFW,BPT,270
2770,RIC,LGA,292
2771,MSP,SDF,604
2773,SMF,HNL,2462
2775,DFW,ACT,89
2780,MIA,EYW,125
2781,MIA,PNS,530
2783,MSP,DLH,144
2784,BUR,PDX,817
2785,MSP,FSD,196
2786,BDL,PBI,1133
2787,PSP,LAX,110
2792,CLT,PBI,590
2795,CLT,MCO,468
2797,CLT,MEM,511
2800,ATL,MSY,425
2802,BWI,SAN,2295
2803,DCA,MSY,969
2804,FLL,PHL,992
2808,MSY,TPA,488
2809,RNO,LAS,345
2810,SJC,SNA,342
2811,SMF,SAN,480
2812,IAH,SJC,1608
2813,DFW,RSW,1017
2821,BOS,SAV,901
2823,FLL,DCA,899
2824,IND,MSP,503
2825,MSP,BOS,1124
2827,MSY,MSP,1039
2828,LGA,CLE,419
2830,DFW,MLU,293
2839,IAH,SLC,1195
2841,CLT,DTW,500
2845,OGG,ITO,121
2846,PUB,DEN,109
2847,GJT,DEN,212
2852,JFK,SLC,1990
2853,RDU,DTW,501
2854,SLC,CLT,1727
2855,CLT,SEA,2279
2858,AUS,PHX,872
2859,BHM,TPA,459
2860,BNA,DAL,623
2863,IND,RSW,945
2864,LAS,ONT,197
2865,MDW,HOU,937
2866,MDW,OKC,691
2870,SAT,LAS,1069
2871,HOU,OKC,419
2874,CLT,SFO,2296
2880,MIA,BWI,946
2882,DFW,SMF,1431
2895,MSP,SAN,1532
2902,CVG,LAX,1900
2904,EWR,BNA,748
2905,CVG,IAD,388
2908,ORD,TYS,475
2910,DFW,CHA,695
2911,MIA,CMH,990
2912,RHI,MSP,190
2914,PDX,TUS,1119
2915,SBN,ATL,566
2916,CDC,SLC,221
2917,KTN,WRG,82
2918,MIA,ORF,802
2919,MIA,CHS,489
2922,ATL,MSN,707
2924,ATL,FNT,645
2925,RSW,ACY,982
2926,MIA,CVG,948
2927,DSM,DEN,589
2929,CLT,RDU,130
2932,CMH,DEN,1154
2933,DAL,BNA,623
2934,EWR,MSY,1167
2935,HRL,HOU,277
2936,LAS,IND,1590
2937,LAS,PIT,1910
2938,LAS,RDU,2026
2939,LAS,SAN,258
2940,MDW,BNA,395
2942,SAT,PHX,843
2943,OKC,PHX,833
2946,CLT,DEN,1337
2952,ORD,ANC,2846
2953,SJC,KOA,2384
2958,DCA,JAX,634
2961,DFW,CHS,987
2963,MLI,ORD,139
2965,STL,EWR,872
2969,ATL,ORF,516
2973,IAD,BOS,413
2975,MSP,DIK,481
2980,BOS,SJU,1674
2981,ATL,SAV,214
2982,JAX,IAD,630
2983,MIA,TLH,402
2984,ORD,BOI,1437
2985,BZN,LAX,902
2986,PHL,SJU,1576
2987,CLT,DCA,331
2990,CLT,CLE,430
2992,CLT,TPA,507
2994,CLT,IND,427
2995,CLT,BOS,728
2999,IND,HOU,861
3000,LAS,TPA,1984
3003,STL,SAT,786
3004,TPA,MSY,488
3005,TPA,STL,869
3006,HOU,LAS,1235
3008,SFO,MCO,2446
3015,ORD,TUS,1437
3016,DFW,BWI,1217
3017,SNA,PDX,859
3018,BLI,LAS,954
3023,SLC,JFK,1990
3024,PHL,DTW,453
3025,SLC,STL,1156
3029,SLC,EWR,1969
3030,ATL,SEA,2182
3032,FLL,CLE,1062
3034,DFW,MHK,431
3036,SLC,BZN,347
3037,LAX,FAT,209
3038,SLC,OKC,866
3042,PHX,PSP,261
3043,SLC,CNY,184
3044,BOS,SRQ,1220
3046,ATL,HPN,780
3048,SCC,BRW,204
3052,SLC,BIL,387
3054,ATL,JAC,1572
3056,PHX,EWR,2133
3057,CLT,SJU,1475
3058,PHL,STT,1605
3061,CLT,LAX,2125
3065,ATL,IND,432
3066,BWI,MCI,967
3069,ELP,LAS,583
3070,LAS,SJC,386
3072,ABQ,LAX,677
3075,SNA,SJC,342
3077,ORD,JAC,1162
3084,PDX,ANC,1542
3093,ATL,EYW,646
3094,GEG,MSP,1175
3097,BOS,CLE,563
3098,BNA,EWR,748
3099,ORD,GRB,173
3100,ORD,ATW,160
3102,ORD,SYR,607
3103,LBB,DFW,282
3104,DFW,SAF,551
3105,DFW,FSD,737
3106,DFW,TYR,102
3107,ORD,MKG,118
3108,CVG,DTW,229
3109,SLC,OAK,588
3110,SLC,TUS,601
3116,SLC,CVG,1450
3118,PHX,STL,1262
3124,PHX,DCA,1979
3125,IND,IAD,476
3126,PHX,FLG,119
3127,ORD,BZN,1186
3128,SFO,KOA,2367
3129,IAD,BDL,326
3130,PHX,FLL,1972
3131,CLT,FLL,631
3132,PHX,AUS,872
3134,SAT,CLT,1095
3135,CLT,PIT,366
3138,BOI,OAK,511
3139,BWI,BHM,682
3140,DCA,MKE,634
3141,FLL,BUF,1165
3142,FLL,DAL,1108
3143,LAS,ELP,583
3147,MCO,AUS,994
3148,MCO,MKE,1066
3149,MDW,ABQ,1121
